gene_id,symbol,SK-OV-3,SK-MEL-5,SK-MEL-28,SF539,SF295,SF268,RPMI-8226,PC-3,OVCAR-8,OVCAR-4,T47D,OVCAR-3,UACC-62,UACC-257,U251,U031,NCI-H522,NCI-H322M,EKVX,DU-145,BT-549,ACHN,A498,HOP-62,HOP-92,Hs-578-T,HT-29,NCI-H23,NCI-H226,NCI-H460,MDA-MB-231,MCF7,LOXIMVI,KM12,IGROV-1,MDA-MB-468,HCT-116,HCT-15,K-562,HL-60,SW620,A549,CAKI-1
SIDG22391,NTSR1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,2,0,1,1,-1,1,1,1,-1,-1,0,0,0,1,-1,1
SIDG22450,NUMB,2,-1,-1,0,-1,0,-1,1,-1,0,1,1,0,-1,0,-1,-1,1,0,1,-1,0,-1,0,0,-1,-1,0,-1,1,0,1,0,0,0,-1,0,0,-1,-1,0,0,-1
SIDG22451,NUMBL,0,-1,1,1,1,0,-1,-1,-1,1,-1,-2,0,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,0,1,-1,-1,-1,0,-1,0,0,0,1,-1,0,0,0,-1,1,-1
SIDG23613,ORAI1,0,1,0,0,0,-1,0,1,1,-1,1,-1,0,-2,0,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,1,0,-1,1,1,0,-1,0,0,0,0,0,0,1
SIDG23614,ORAI2,-1,1,1,0,1,1,1,1,-1,2,-1,-1,1,1,-1,1,1,-1,1,0,0,1,1,0,1,1,1,1,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0
SIDG23615,ORAI3,0,-1,1,-1,1,-1,1,-1,-1,1,0,-1,-1,-1,-1,1,0,0,-1,0,-1,1,1,-1,-1,-1,-1,0,0,1,-1,1,0,0,0,-1,0,0,0,0,0,0,0
SIDG23618,ORC1,0,-1,1,1,0,1,1,0,1,0,-1,0,0,1,1,0,1,0,2,-1,1,-1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,1,0,0,1,0,0,-1,0
SIDG23619,ORC2,0,-1,1,1,0,1,0,0,-1,0,-1,0,1,0,0,-1,1,1,0,-1,-1,1,1,1,0,1,0,0,-1,1,0,0,1,0,0,0,0,0,-1,0,1,0,0
SIDG23620,ORC3,0,-1,0,1,0,1,-1,0,1,0,-1,0,-1,-1,0,-1,0,-1,0,-1,1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,1,0,0,0,0,0,-1,-1
SIDG23621,ORC4,0,-1,-1,1,0,-1,1,0,1,0,-1,0,1,1,0,0,1,1,0,-1,-1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
SIDG23622,ORC5,-1,1,1,0,1,1,1,1,-1,2,-1,0,1,1,0,1,1,-1,1,0,0,1,1,0,1,1,1,1,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0
SIDG23623,ORC6,1,-1,-1,-2,1,-1,1,0,1,2,-1,-1,-1,0,0,1,0,1,0,0,-1,1,1,1,-1,-1,0,0,0,1,-1,-1,-1,0,0,1,0,0,0,0,1,0,1
SIDG23658,OSM,0,1,1,0,1,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1
SIDG23659,OSMR,0,2,0,0,1,1,1,1,1,0,1,1,1,-1,1,0,0,1,2,2,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1
SIDG23742,OXTR,1,1,1,0,0,1,0,1,1,0,1,0,-1,-1,0,1,0,-1,-1,-1,1,0,-1,1,0,1,-1,-1,0,-1,0,1,0,0,-1,-1,-1,0,1,0,0,0,1
SIDG23743,P2RX1,-1,0,0,0,-1,1,-1,-1,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,0,1,1,1,-1,-1,1,-1,-1,0,1,0,-1,0,0,0,-1,-1,0,-1,-1,1,1,-1
SIDG23744,P2RX2,0,1,0,-1,0,-1,-1,1,1,-1,1,-1,0,-2,-1,1,-1,-1,1,0,-1,1,-1,-1,-1,-1,0,1,0,1,-1,-1,1,1,0,-1,-1,0,0,0,0,0,1
SIDG23746,P2RX4,0,1,0,0,0,-1,0,1,1,-1,1,-1,0,-2,0,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,1,0,-1,1,1,0,-1,0,0,0,0,0,0,1
